SurveyName,Surveyyear,Season,ID,Intid,Strat,Stratname,Selected,Counted,UnitID,GMU,U17A,U17TNWR,U18GNS,U18KANAROL,U18TNWR,AreaMi,centrlat,centrlon,adult,calf,unknown,datecounted,searchmin,comments,,,
TOGIAK NWR MAR 2017,2017,spring,5936-15955,332,H,HIGH,0,0,5936-15955,17A,1,1,0,0,0,6.744,59.6167,-159.9583,0,0,0,,,,,,
TOGIAK NWR MAR 2017,2017,spring,5934-16020,358,H,HIGH,0,0,5934-16020,18,0,0,1,0,1,6.751,59.5833,-160.3750,0,0,0,,,,,,
TOGIAK NWR MAR 2017,2017,spring,5934-16015,359,H,HIGH,1,1,5934-16015,17A,1,1,0,0,0,6.751,59.5833,-160.2917,3,1,0,3/11/17,21,,,,
TOGIAK NWR MAR 2017,2017,spring,5934-15955,363,H,HIGH,0,0,5934-15955,17A,1,1,0,0,0,6.751,59.5833,-159.9583,0,0,0,,,,,,
TOGIAK NWR MAR 2017,2017,spring,5934-15950,364,H,HIGH,1,1,5934-15950,17A,1,1,0,0,0,6.751,59.5833,-159.8750,8,1,0,3/12/17,32,,,,
TOGIAK NWR MAR 2017,2017,spring,5934-15940,366,H,HIGH,0,0,5934-15940,17A,1,1,0,0,0,6.751,59.5833,-159.7083,0,0,0,,,,,,
TOGIAK NWR MAR 2017,2017,spring,5934-15935,367,H,HIGH,0,0,5934-15935,17A,1,1,0,0,0,6.751,59.5833,-159.6250,0,0,0,,,,,,
TOGIAK NWR MAR 2017,2017,spring,5934-15925,369,H,HIGH,0,0,5934-15925,17A,1,1,0,0,0,6.751,59.5833,-159.4583,0,0,0,,,,,,
TOGIAK NWR MAR 2017,2017,spring,5934-15920,370,H,HIGH,1,1,5934-15920,17A,1,1,0,0,0,6.751,59.5833,-159.3750,0,0,0,3/11/17,10,,,,
TOGIAK NWR MAR 2017,2017,spring,5932-16125,375,H,HIGH,0,0,5932-16125,18,0,0,0,1,1,6.758,59.5500,-161.4583,0,0,0,,,,,,
TOGIAK NWR MAR 2017,2017,spring,5932-16025,387,H,HIGH,0,0,5932-16025,18,0,0,1,0,1,6.758,59.5500,-160.4583,0,0,0,,,,,,
TOGIAK NWR MAR 2017,2017,spring,5932-15950,394,H,HIGH,0,0,5932-15950,17A,1,1,0,0,0,6.758,59.5500,-159.8750,0,0,0,,,,,,
TOGIAK NWR MAR 2017,2017,spring,5932-15945,395,H,HIGH,1,1,5932-15945,17A,1,1,0,0,0,6.758,59.5500,-159.7917,3,1,0,3/12/17,23,,,,
TOGIAK NWR MAR 2017,2017,spring,5932-15940,396,H,HIGH,1,1,5932-15940,17A,1,1,0,0,0,6.758,59.5500,-159.7083,0,0,0,3/12/17,18,,,,
TOGIAK NWR MAR 2017,2017,spring,5930-16030,416,H,HIGH,0,0,5930-16030,18,0,0,1,0,1,6.764,59.5167,-160.5417,0,0,0,,,,,,
TOGIAK NWR MAR 2017,2017,spring,5930-16025,417,H,HIGH,1,1,5930-16025,18,0,0,1,0,1,6.764,59.5167,-160.4583,0,0,0,3/13/17,15,,,,
TOGIAK NWR MAR 2017,2017,spring,5930-16010,420,H,HIGH,0,0,5930-16010,17A,1,1,0,0,0,6.764,59.5167,-160.2083,0,0,0,,,,,,
TOGIAK NWR MAR 2017,2017,spring,5930-15955,423,H,HIGH,0,0,5930-15955,17A,1,1,0,0,0,6.764,59.5167,-159.9583,0,0,0,,,,,,
TOGIAK NWR MAR 2017,2017,spring,5930-15950,424,H,HIGH,0,0,5930-15950,17A,1,1,0,0,0,6.764,59.5167,-159.8750,0,0,0,,,,,,
TOGIAK NWR MAR 2017,2017,spring,5930-15945,425,H,HIGH,1,1,5930-15945,17A,1,1,0,0,0,6.764,59.5167,-159.7917,4,3,0,3/12/17,33,,,,
TOGIAK NWR MAR 2017,2017,spring,5930-15940,426,H,HIGH,0,0,5930-15940,17A,1,1,0,0,0,6.764,59.5167,-159.7083,0,0,0,,,,,,
TOGIAK NWR MAR 2017,2017,spring,5928-16040,444,H,HIGH,1,1,5928-16040,18,0,0,1,0,1,6.771,59.4833,-160.7083,5,0,0,3/13/17,21,,,,
TOGIAK NWR MAR 2017,2017,spring,5928-16020,448,H,HIGH,0,0,5928-16020,17A,1,1,0,0,0,6.771,59.4833,-160.3750,0,0,0,,,,,,
TOGIAK NWR MAR 2017,2017,spring,5928-16015,449,H,HIGH,0,0,5928-16015,17A,1,1,0,0,0,6.771,59.4833,-160.2917,0,0,0,,,,,,
TOGIAK NWR MAR 2017,2017,spring,5928-16010,450,H,HIGH,0,0,5928-16010,17A,1,1,0,0,0,6.771,59.4833,-160.2083,0,0,0,,,,,,
TOGIAK NWR MAR 2017,2017,spring,5928-16005,451,H,HIGH,0,0,5928-16005,17A,1,1,0,0,0,6.771,59.4833,-160.1250,0,0,0,,,,,,
TOGIAK NWR MAR 2017,2017,spring,5928-16000,452,H,HIGH,1,1,5928-16000,17A,1,1,0,0,0,6.771,59.4833,-160.0417,0,0,0,3/12/17,13,,,,
TOGIAK NWR MAR 2017,2017,spring,5928-15955,453,H,HIGH,0,0,5928-15955,17A,1,1,0,0,0,6.771,59.4833,-159.9583,0,0,0,,,,,,
TOGIAK NWR MAR 2017,2017,spring,5928-15950,454,H,HIGH,0,0,5928-15950,17A,1,1,0,0,0,6.771,59.4833,-159.8750,0,0,0,,,,,,
TOGIAK NWR MAR 2017,2017,spring,5928-15940,456,H,HIGH,1,1,5928-15940,17A,1,1,0,0,0,6.771,59.4833,-159.7083,0,0,0,3/12/17,22,,,,
TOGIAK NWR MAR 2017,2017,spring,5926-16045,474,H,HIGH,0,0,5926-16045,18,0,0,1,0,1,6.777,59.4500,-160.7917,0,0,0,,,,,,
TOGIAK NWR MAR 2017,2017,spring,5926-16040,475,H,HIGH,1,1,5926-16040,18,0,0,1,0,1,6.777,59.4500,-160.7083,0,0,0,3/13/17,19,,,,
TOGIAK NWR MAR 2017,2017,spring,5926-16020,479,H,HIGH,1,1,5926-16020,17A,1,1,0,0,0,6.777,59.4500,-160.3750,0,0,0,3/14/17,7,,,,
TOGIAK NWR MAR 2017,2017,spring,5926-16015,480,H,HIGH,0,0,5926-16015,17A,1,1,0,0,0,6.777,59.4500,-160.2917,0,0,0,,,,,,
TOGIAK NWR MAR 2017,2017,spring,5926-16010,481,H,HIGH,0,0,5926-16010,17A,1,1,0,0,0,6.777,59.4500,-160.2083,0,0,0,,,,,,
TOGIAK NWR MAR 2017,2017,spring,5926-16005,482,H,HIGH,1,1,5926-16005,17A,1,1,0,0,0,6.777,59.4500,-160.1250,3,2,0,3/14/17,30,,,,
